scenario,scenario_name,model_id,model,q1_rank,distance_positive,distance_negative,topsis_score,rank,rank_change_vs_q1,rank_improvement_vs_q1,ranking_status
daily_dialogue,大众日常通用对话,claude-fable-5,Claude Fable 5,1.0,0.11170591310177035,0.28842616547470407,0.7208273990448861,1.0,0.0,0.0,ranked_complete_case
daily_dialogue,大众日常通用对话,kimi-k3,Kimi K3,2.0,0.14968251168196603,0.2595908793222966,0.6342725547960016,2.0,0.0,0.0,ranked_complete_case
daily_dialogue,大众日常通用对话,gpt-5.6-sol,GPT-5.6 Sol,3.0,0.1772598939619554,0.26854005176185325,0.6023779373186035,3.0,0.0,0.0,ranked_complete_case
daily_dialogue,大众日常通用对话,gpt-5.5,GPT-5.5,4.0,0.24300914963208473,0.19029034575715462,0.4391658605238254,4.0,0.0,0.0,ranked_complete_case
daily_dialogue,大众日常通用对话,claude-opus-4.8,Claude Opus 4.8,5.0,0.2673242614167771,0.13959933915040965,0.34306031637346757,5.0,0.0,0.0,ranked_complete_case
daily_dialogue,大众日常通用对话,glm-5.2,GLM-5.2,NA,NA,NA,NA,NA,NA,NA,not_ranked_insufficient_coverage
