model_id,provider,model_name,exact_version,context_window,max_output_tokens,vision_support,reasoning_support,api_available,input_price_usd_per_million,output_price_usd_per_million,cached_input_price_usd_per_million,batch_input_price,batch_output_price,long_context_price,peak_price,off_peak_price,pricing_effective_date,efficiency_compatible,observed_ttft_seconds,observed_output_speed_tokens_per_second,observed_total_latency_seconds,comparable_ttft_seconds,comparable_output_speed_tokens_per_second,comparable_total_latency_seconds,efficiency_test_setting,efficiency_source_url,efficiency_exclusion_reason
kimi-k3,Moonshot AI,Kimi K3,kimi-k3,1048576,1048576,yes,yes,yes,3.0,15.0,0.3,NA,NA,NA,NA,NA,2026-07-16,true,3.46307208600004,39.4660292942798,66.8086896893993,3.46307208600004,39.4660292942798,66.8086896893993,AA default reasoning configuration; Kimi first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E,https://artificialanalysis.ai/models/kimi-k3/providers,NA
gpt-5.6-sol,OpenAI,GPT-5.6 Sol,gpt-5.6-sol,1050000,128000,yes,yes,yes,5.0,30.0,0.5,2.5,15.0,10.0,NA,NA,2026-07-09,true,142.428721224,73.7378119009507,149.209502848923,142.428721224,73.7378119009507,149.209502848923,max reasoning; OpenAI first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E,https://artificialanalysis.ai/models/gpt-5-6-sol/providers,NA
claude-fable-5,Anthropic,Claude Fable 5,claude-fable-5,1000000,128000,yes,yes,yes,10.0,50.0,1.0,5.0,25.0,NA,NA,NA,2026-06-09,false,99.0035255999999,68.5385992684221,106.298684902013,NA,NA,NA,Adaptive Reasoning; Max Effort; Opus 4.8 Fallback; Anthropic first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E,https://artificialanalysis.ai/models/claude-fable-5/providers,Supplementary only: fallback can mix model identity and routing frequency is not separated; content hash e21cd48487701849823a638201eacd5083106ee0ab52131a2f23875b0724835a.
claude-opus-4.8,Anthropic,Claude Opus 4.8,claude-opus-4.8,1000000,128000,yes,yes,yes,5.0,25.0,0.5,2.5,12.5,NA,NA,NA,2026-05-28,true,24.7381887305,61.0632695191376,32.9264171686005,24.7381887305,61.0632695191376,32.9264171686005,Adaptive Reasoning; Max Effort; Anthropic first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E,https://artificialanalysis.ai/models/claude-opus-4-8/providers,NA
gpt-5.5,OpenAI,GPT-5.5,gpt-5.5,256000,128000,yes,yes,yes,3.0,15.0,0.3,1.5,7.5,NA,NA,NA,2026-04-23,true,48.4270293085,89.5059851986358,54.0132479160085,48.4270293085,89.5059851986358,54.0132479160085,xhigh reasoning; OpenAI first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E,https://artificialanalysis.ai/models/gpt-5-5/providers,NA
glm-5.2,Z.ai,GLM-5.2,GLM-5.2,1048576,131072,no,yes,yes,1.13,3.94,0.28,NA,NA,NA,NA,NA,2026-06-16,false,0.71099214849994,198.212198588419,13.3237375688318,NA,NA,NA,max reasoning; Together AI deployment without quantization suffix; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E,https://artificialanalysis.ai/models/glm-5-2/providers,Supplementary only: no first-party provider listed and deployment precision/quantization is undisclosed; content hash e47432f7fb5668e1206d6e6f98156b4cf19615f3e48140f0e8d66d4c73293843.
