metric,gpqa_diamond,hle_full_no_tools,aa_lcr,scicode,gdpval_aa_v2,mmmu_pro_no_tools,omnidocbench,charxiv_rq_no_tools,mathvision_no_tools
gpqa_diamond,1.0,-0.6564239149257346,0.8318757976481478,0.6361197397138867,0.4296597511937899,0.9500208295563306,-0.04585064396128638,0.438215678374382,0.8610929525966302
hle_full_no_tools,-0.6564239149257346,1.0,-0.8449060583807081,0.2258506847899694,0.473434624602297,-0.4287057824262898,-0.0032679573352316625,0.30191650080176036,-0.19605505295415995
aa_lcr,0.8318757976481478,-0.8449060583807081,1.0,0.28519778687295083,0.012810173962422306,0.7733308949417191,0.17449846166297842,0.2293996573311675,0.6706663834080071
scicode,0.6361197397138867,0.2258506847899694,0.28519778687295083,1.0,0.7062730087131036,0.4639769354650785,0.5894979655916727,0.9326129582307064,0.745223278039788
gdpval_aa_v2,0.4296597511937899,0.473434624602297,0.012810173962422306,0.7062730087131036,1.0,0.4719035096403102,-0.1395990810250921,0.5725541705320563,0.6048832947778083
mmmu_pro_no_tools,0.9500208295563306,-0.4287057824262898,0.7733308949417191,0.4639769354650785,0.4719035096403102,1.0,-0.2015311675845807,0.5407262782828013,0.9349061106817603
omnidocbench,-0.04585064396128638,-0.0032679573352316625,0.17449846166297842,0.5894979655916727,-0.1395990810250921,-0.2015311675845807,1.0,0.3367370495608659,0.05358902606854566
charxiv_rq_no_tools,0.438215678374382,0.30191650080176036,0.2293996573311675,0.9326129582307064,0.5725541705320563,0.5407262782828013,0.3367370495608659,1.0,0.7890130623297914
mathvision_no_tools,0.8610929525966302,-0.19605505295415995,0.6706663834080071,0.745223278039788,0.6048832947778083,0.9349061106817603,0.05358902606854566,0.7890130623297914,1.0
