metric,indicator,dimension,std,conflict,information,weight,rank
hle_full_no_tools,HLE-Full,high_difficulty_reasoning,0.36848523901518526,9.1281569558281,3.3635910976364434,0.20131841293127647,1
omnidocbench,OmniDocBench,document_understanding,0.342337160152203,7.2359263470221205,2.477126476710057,0.1482615325244908,2
aa_lcr,AA-LCR,long_context,0.3615678256109174,5.867126902553311,2.1213643167395175,0.12696837549461298,3
gdpval_aa_v2,GDPval-AA v2,professional_tasks,0.40059805771692303,4.868080547603303,1.9501436121794182,0.11672043527166621,4
gpqa_diamond,GPQA Diamond,high_difficulty_reasoning,0.38111416340746856,4.555289809803846,1.7360854649419595,0.10390857876891348,5
mmmu_pro_no_tools,MMMU-Pro,multimodal,0.3215074546982259,4.495372391442879,1.4452957354934768,0.08650416630319488,6
mathvision_no_tools,MathVision,multimodal_math,0.3571411665217804,3.53668094505183,1.2630943583311633,0.07559900838730409,7
charxiv_rq_no_tools,CharXiv RQ,research_document_reasoning,0.31760512570331084,3.858824644556462,1.2255824863013889,0.07335383936291764,8
scicode,SciCode,coding,0.32956114786553564,3.415247642582844,1.1255329333346666,0.06736565095562354,9
