indicator_key,critic_weight,entropy_weight,difference
gpqa_diamond,0.1039085788,0.1052769820,0.0013684032
hle_full_no_tools,0.2013184129,0.1803826633,-0.0209357496
aa_lcr,0.1269683755,0.1235908663,-0.0033775092
scicode,0.0673656510,0.0289684591,-0.0383971919
gdpval_aa_v2,0.1167204353,0.1163481953,-0.0003722400
mmmu_pro_no_tools,0.0865041663,0.1077654473,0.0212612810
omnidocbench,0.1482615325,0.1149620375,-0.0332994950
charxiv_rq_no_tools,0.0733538394,0.1216056826,0.0482518432
mathvision_no_tools,0.0755990084,0.1010996664,0.0255006580
